sex,caring_for_household_members,caring_for_non_household_members,consumer_purchases,eating_and_drinking,education,government_services_and_civic_obligations,household_activities,household_services,personal_care_activities,professional_and_personal_care_services,religious_and_spiritual_activities,socializing_relaxing_and_leisure,sports_exercise_and_recreation,telephone_calls,traveling,volunteer_activities,work_and_work_related_activities
female,0,0,45,30,0,0,120,0,810,0,0,157,0,0,68,0,90
female,88,0,0,50,0,0,622,0,500,0,0,140,0,0,40,0,0
female,0,0,15,60,0,0,105,0,440,0,0,145,0,0,110,0,565
male,0,0,0,0,0,0,0,0,840,240,0,300,0,0,60,0,0
male,0,0,0,10,0,0,13,0,687,0,75,210,300,0,55,90,0
female,5,0,0,75,0,0,122,0,530,0,0,65,90,40,97,0,416
male,0,0,60,0,0,0,70,0,425,0,0,760,0,0,85,0,40
male,0,0,0,75,0,0,705,0,600,0,0,60,0,0,0,0,0
male,15,0,6,90,0,0,10,0,655,0,0,582,0,30,52,0,0
female,0,0,0,75,0,0,110,0,485,0,0,250,0,0,20,0,500
female,110,0,0,30,0,0,285,0,525,0,0,430,0,0,0,0,0
male,5,0,5,125,0,0,110,0,750,0,0,105,205,0,135,0,0
male,0,0,0,90,0,0,300,0,345,0,0,195,0,0,510,0,0
female,0,0,0,70,0,0,30,0,565,0,0,220,0,0,65,0,490
female,0,0,275,70,0,0,240,0,420,0,0,385,0,0,50,0,0
female,0,0,0,80,0,0,35,0,500,0,0,175,0,0,90,0,560
male,0,0,125,15,0,0,55,0,380,0,0,285,0,30,490,0,0
male,0,0,0,35,0,0,450,0,375,0,0,350,0,0,20,0,210
female,0,0,0,60,0,0,590,0,600,0,0,180,0,0,0,10,0
female,0,10,90,105,0,0,100,0,540,60,0,504,0,0,31,0,0
male,0,0,0,60,0,0,270,0,780,0,0,0,210,0,120,0,0
female,0,0,100,90,120,0,200,10,744,0,0,120,0,0,56,0,0
female,0,10,75,180,0,0,250,0,421,0,0,120,0,110,154,0,0
male,75,2,50,90,0,0,200,0,530,0,0,161,190,0,142,0,0
female,0,0,0,210,0,0,75,0,610,0,150,225,0,0,170,0,0
