sex,caring_for_household_members,caring_for_non_household_members,consumer_purchases,eating_and_drinking,education,government_services_and_civic_obligations,household_activities,household_services,personal_care_activities,professional_and_personal_care_services,religious_and_spiritual_activities,socializing_relaxing_and_leisure,sports_exercise_and_recreation,telephone_calls,traveling,volunteer_activities,work_and_work_related_activities
female,99,0,0,6,0,0,90,0,655,60,0,215,0,0,30,0,285
male,0,30,80,105,0,0,90,5,765,0,0,210,0,0,155,0,0
male,0,0,0,31,212,0,13,0,715,0,0,304,110,5,20,0,0
female,0,0,0,45,0,0,255,0,610,0,60,455,15,0,0,0,0
female,0,0,30,60,0,0,58,0,490,0,0,182,0,0,90,0,530
female,0,0,90,85,0,0,365,0,555,0,15,280,0,0,50,0,0
female,0,0,60,70,0,0,50,0,490,0,20,120,25,30,45,0,530
female,0,0,0,70,0,0,0,0,458,0,0,105,0,0,14,0,793
male,0,0,60,45,0,0,0,0,630,0,0,625,0,0,80,0,0
male,0,0,3,15,0,0,15,0,480,0,0,30,0,0,67,0,830
male,30,0,55,65,0,0,185,10,680,0,0,349,0,0,66,0,0
female,0,0,0,15,0,0,94,0,575,0,0,20,0,0,53,0,683
female,30,0,0,15,0,0,295,0,545,0,0,555,0,0,0,0,0
female,90,0,180,125,0,0,225,0,570,0,0,120,0,0,40,0,90
male,0,0,10,30,0,0,195,0,540,0,0,615,0,0,50,0,0
male,0,0,47,15,0,0,0,0,840,0,0,165,0,0,46,0,327
male,0,0,0,60,0,0,420,0,390,0,0,560,0,0,0,0,10
female,0,0,70,60,0,0,52,0,430,0,0,353,0,0,70,0,405
female,36,0,162,75,0,0,259,0,485,0,0,140,0,60,103,0,0
male,0,0,10,70,0,0,120,0,620,0,0,60,0,0,100,0,460
female,395,0,85,80,0,0,212,0,483,0,0,90,0,0,95,0,0
male,0,0,0,30,0,0,90,0,435,0,0,540,0,0,30,0,315
male,0,0,0,60,514,0,35,0,545,0,0,28,75,0,183,0,0
male,0,0,0,90,0,0,0,0,720,0,0,190,0,0,155,0,285
female,0,0,60,70,435,0,19,0,510,0,0,182,0,0,164,0,0
male,0,0,0,135,0,0,0,0,660,0,0,632,0,0,13,0,0
female,0,0,180,120,30,0,70,0,730,0,0,225,50,0,30,0,5
male,0,0,5,85,0,0,245,0,660,0,0,285,0,0,45,0,0
male,0,0,15,35,0,0,0,0,735,0,240,318,0,0,52,45,0
female,0,0,40,60,0,0,90,0,685,0,0,495,0,0,70,0,0
female,0,0,125,105,0,0,135,0,590,0,0,400,0,0,40,0,45
male,5,0,0,75,0,0,300,0,690,0,0,85,0,0,120,0,165
female,0,0,0,67,0,0,713,0,540,0,0,90,0,30,0,0,0
male,0,0,92,150,0,0,30,0,514,0,265,53,45,0,241,0,50
female,0,0,0,30,0,0,450,0,480,0,0,480,0,0,0,0,0
female,0,300,0,0,0,0,0,0,490,0,0,120,0,0,45,0,485
female,0,0,30,55,0,0,335,0,519,0,0,380,109,0,12,0,0
male,57,0,0,75,0,0,3,0,309,0,0,60,0,0,12,0,924
female,0,25,0,35,0,0,180,0,584,0,98,363,0,35,120,0,0
female,32,0,15,45,0,0,478,0,510,0,0,180,0,0,180,0,0
male,0,0,0,40,0,0,0,0,440,0,0,270,0,5,22,663,0
female,0,0,15,75,0,0,305,0,630,0,30,358,0,0,27,0,0
male,0,0,0,40,0,0,10,0,300,0,60,945,45,0,40,0,0
female,0,0,45,50,0,0,40,0,620,0,0,0,0,0,125,0,560
female,0,0,30,175,0,0,165,0,555,0,90,390,0,0,35,0,0
female,0,0,0,40,0,0,120,0,265,0,0,995,20,0,0,0,0
male,300,0,100,30,60,0,120,0,579,0,0,180,0,0,70,0,1
female,125,0,35,30,0,0,95,0,549,5,0,90,0,0,51,0,425
male,0,0,0,30,0,0,30,0,160,0,0,665,0,0,115,0,440
female,0,0,2,90,0,0,57,0,445,15,0,388,0,0,161,0,0
female,0,0,0,15,0,0,20,0,660,0,0,240,0,0,105,0,400
female,0,0,0,50,0,0,0,0,580,0,0,580,0,0,230,0,0
male,0,0,0,75,0,0,60,0,105,90,0,1020,0,60,30,0,0
male,0,0,0,75,0,0,45,0,420,0,60,825,0,15,0,0,0
male,7,0,5,45,0,0,35,0,440,0,0,30,195,0,45,0,638
male,160,0,25,30,0,0,80,0,625,0,0,240,0,0,100,0,180
female,0,0,0,75,0,0,0,0,600,0,0,765,0,0,0,0,0
male,0,0,75,40,0,0,0,0,530,0,0,555,0,0,70,0,0
male,0,1,0,0,0,0,0,0,485,0,0,0,0,0,4,0,947
male,0,0,20,48,0,0,10,0,412,0,0,409,0,0,44,0,497
female,0,0,0,10,0,0,60,0,480,0,0,679,90,0,61,0,60
female,95,0,10,70,0,0,315,0,535,0,0,130,0,30,175,0,15
female,0,0,0,50,0,0,0,0,570,0,0,5,30,0,257,20,0
female,0,0,10,95,0,0,110,0,645,0,0,503,0,0,77,0,0
male,0,0,0,30,0,0,10,0,340,0,45,60,90,0,40,0,825
female,5,38,20,5,0,0,220,0,690,0,0,137,255,10,60,0,0
female,30,0,0,20,0,0,150,0,930,0,0,310,0,0,0,0,0
female,240,0,75,65,0,0,270,0,545,0,0,45,0,0,60,140,0
male,0,0,0,145,0,0,140,0,540,0,0,380,70,0,40,125,0
male,0,0,0,90,0,0,0,0,780,0,0,0,0,0,285,0,0
male,0,30,0,105,0,0,180,0,745,0,0,45,180,0,125,0,0
male,0,0,0,10,0,0,75,0,460,0,0,865,0,0,30,0,0
female,0,0,120,45,0,0,60,0,660,0,0,380,75,0,25,0,0
male,370,0,45,90,0,0,80,10,515,20,0,225,0,0,45,0,0
female,0,0,0,0,0,0,0,0,840,0,240,350,0,0,10,0,0
female,26,0,40,95,0,0,135,15,475,0,0,165,0,30,206,0,0
male,0,0,15,35,0,0,51,0,720,15,0,524,0,0,80,0,0
male,0,20,0,30,0,0,90,0,440,0,20,183,0,0,49,0,518
male,0,0,0,100,0,0,20,0,518,0,0,150,120,0,40,0,0
female,0,0,0,30,0,0,0,0,480,0,0,345,0,0,30,0,555
male,0,0,0,75,0,0,5,0,515,0,0,203,0,0,72,0,510
male,240,0,35,75,0,0,10,0,605,0,0,180,150,0,85,0,30
female,0,0,0,5,0,0,430,0,285,0,0,0,0,0,60,0,660
male,0,0,10,90,0,0,0,0,840,0,0,470,0,0,30,0,0
male,95,0,0,45,0,0,60,0,525,0,0,85,0,0,150,0,480
male,60,0,15,150,0,0,0,0,600,0,0,175,0,0,50,0,390
male,0,0,0,30,0,0,105,0,405,0,0,900,0,0,0,0,0
female,20,0,120,210,0,0,0,0,870,75,0,0,0,0,145,0,0
female,0,25,57,65,0,0,95,0,485,0,0,468,0,30,65,150,0
female,0,0,0,120,0,0,105,0,635,10,0,130,0,0,20,0,0
female,393,0,30,15,0,0,74,0,450,0,0,265,0,0,203,0,0
female,0,0,60,195,0,0,210,0,470,0,0,340,0,0,165,0,0
male,0,0,0,45,0,0,0,0,740,0,0,655,0,0,0,0,0
male,0,0,0,30,0,0,0,0,690,0,0,140,530,0,50,0,0
female,0,0,0,80,0,0,70,0,400,0,0,850,0,0,0,0,0
female,0,0,30,70,0,0,159,0,633,0,0,175,0,10,10,0,353
male,0,310,0,0,0,0,50,0,580,0,0,450,0,0,50,0,0
male,163,0,0,40,0,0,65,0,467,0,0,0,45,0,50,0,610
male,0,0,0,40,90,0,0,0,770,0,0,450,90,0,0,0,0
female,0,0,185,60,0,0,37,0,555,0,0,570,0,0,33,0,0
male,0,0,0,35,0,0,45,0,555,0,0,805,0,0,0,0,0
female,0,0,0,80,0,0,15,0,465,0,0,395,0,0,30,0,455
female,0,0,0,70,0,0,0,0,900,0,0,270,0,0,190,0,0
female,282,0,25,30,0,0,15,0,555,0,75,301,0,0,67,45,0
male,0,0,75,0,0,0,0,0,469,0,0,240,0,0,41,0,615
female,0,0,0,30,0,0,0,0,640,0,190,414,0,0,41,110,0
female,0,0,0,145,0,0,5,0,625,0,0,20,0,0,95,0,550
male,0,7,90,165,0,20,28,0,660,0,0,312,70,0,88,0,0
female,0,0,0,30,120,0,0,0,675,0,0,440,0,0,175,0,0
male,77,0,20,75,0,0,0,0,485,0,0,90,0,0,21,0,672
female,0,0,0,80,0,0,65,0,580,0,0,125,0,70,50,0,470
male,0,0,15,60,0,0,55,0,450,0,0,530,195,0,105,0,30
female,0,0,0,40,0,0,30,0,525,0,0,335,0,0,90,0,420
male,0,0,120,188,0,0,203,0,565,82,0,90,0,60,132,0,0
female,0,0,0,90,0,0,215,0,645,0,0,300,60,10,120,0,0
female,0,1,65,90,0,0,0,0,479,0,0,180,0,0,200,0,425
female,64,57,0,55,0,0,300,0,298,0,0,45,100,2,89,10,340
female,5,0,0,60,0,0,0,0,1315,0,0,0,0,0,60,0,0
male,0,0,0,140,0,0,0,0,563,0,0,120,0,0,32,0,585
male,0,0,0,15,0,0,0,0,720,0,0,675,0,30,0,0,0
female,0,0,0,30,0,0,210,0,470,0,30,210,0,0,20,0,470
male,0,0,60,90,0,0,322,0,600,0,0,344,0,0,24,0,0
female,0,0,50,25,0,0,225,0,325,5,0,15,0,0,72,0,165
female,0,0,0,35,0,0,0,0,470,0,190,390,0,0,115,0,240
female,5,0,0,5,480,0,0,0,825,0,0,5,0,0,120,0,0
male,30,0,130,90,0,0,30,0,630,0,0,410,0,0,120,0,0
female,0,0,0,30,180,0,0,0,550,0,0,120,0,0,45,0,515
male,0,404,50,50,0,0,76,0,640,0,0,65,0,20,135,0,0
female,0,0,0,40,0,0,20,0,580,0,0,80,65,0,85,0,570
male,0,10,25,40,0,0,131,0,500,0,0,714,0,0,16,0,0
female,0,5,45,100,0,0,0,0,870,0,0,235,0,0,185,0,0
female,225,0,0,60,0,0,510,0,405,0,0,210,0,0,30,0,0
female,0,0,50,70,0,0,161,0,555,0,0,324,125,120,35,0,0
female,0,0,0,125,0,0,295,0,660,0,80,135,0,0,10,115,20
female,0,0,11,45,0,0,72,0,542,0,0,60,0,0,103,0,607
male,0,0,0,70,0,0,0,0,370,0,0,285,125,0,35,0,555
male,0,0,10,170,0,0,60,0,480,0,0,65,15,0,170,0,470
female,0,0,0,50,0,0,180,0,735,0,0,165,190,0,120,0,0
female,150,60,0,60,0,0,460,0,570,0,0,30,110,0,0,0,0
female,75,0,0,20,0,0,135,0,420,0,0,740,0,0,50,0,0
female,0,0,195,30,0,0,60,0,460,0,0,600,0,0,95,0,0
female,0,0,25,20,0,0,170,0,660,0,0,510,0,0,55,0,0
male,0,0,30,285,0,0,75,0,512,5,0,30,0,0,38,0,465
male,472,0,0,120,0,0,0,0,480,35,0,90,0,0,63,0,180
male,0,0,0,37,0,0,66,0,424,0,0,353,0,0,35,0,525
female,135,0,30,45,0,0,145,0,575,0,0,200,0,0,100,0,0
female,0,0,0,20,0,0,135,0,630,0,70,490,0,0,70,0,0
female,90,0,0,25,0,0,190,0,490,0,0,125,0,10,45,0,465
female,0,5,125,80,0,0,275,0,595,0,0,255,0,0,60,0,0
female,0,0,0,4,0,0,62,298,956,0,0,120,0,0,0,0,0
female,385,0,30,50,0,0,110,0,500,0,0,120,60,0,185,0,0
female,210,0,15,10,0,0,75,0,295,0,0,595,0,70,50,0,120
female,0,0,0,40,0,0,25,0,440,0,0,380,0,0,40,0,510
female,10,0,0,110,0,0,10,0,648,0,60,440,45,0,117,0,0
male,0,0,5,70,0,0,220,0,580,0,0,355,150,0,60,0,0
male,0,0,0,144,0,0,536,0,570,0,0,190,0,0,0,0,0
female,0,70,0,60,0,0,135,0,660,0,100,385,0,0,30,0,0
female,0,5,5,408,0,0,167,0,415,45,0,35,125,0,235,0,0
female,125,0,5,110,0,0,170,0,705,0,0,240,0,0,85,0,0
female,0,0,60,100,0,0,30,0,525,0,0,660,0,0,65,0,0
male,0,0,2,30,0,0,1,0,527,0,0,204,10,0,45,0,621
male,0,0,10,90,0,0,5,0,720,0,0,425,90,0,100,0,0
female,293,0,15,10,0,0,120,60,550,0,0,298,0,0,94,0,0
female,0,0,60,60,0,0,30,0,855,0,0,405,0,0,30,0,0
female,97,0,75,60,135,0,338,0,598,0,0,122,0,0,15,0,0
female,40,0,0,77,0,0,90,0,484,0,0,172,45,0,56,0,476
female,1,0,0,75,0,0,338,0,555,0,0,330,0,0,61,0,80
male,0,0,10,85,0,0,245,0,525,0,0,505,0,0,70,0,0
female,0,0,30,45,0,0,60,0,825,70,0,360,0,0,40,0,10
male,0,0,50,150,0,0,10,0,601,0,0,480,0,0,29,0,0
female,0,0,0,75,0,0,120,0,660,0,0,135,0,0,0,0,0
male,0,0,0,330,360,0,0,0,420,0,0,0,0,0,40,0,290
female,0,0,0,51,0,0,85,0,680,0,30,380,40,0,30,120,0
female,2,0,35,75,0,0,315,0,565,15,0,150,171,0,112,0,0
female,30,0,0,400,0,0,220,0,555,0,0,180,0,0,10,0,0
male,0,0,0,85,0,0,0,0,495,0,0,350,0,0,45,0,465
female,180,0,0,65,0,0,135,0,690,0,0,241,45,0,24,0,60
male,0,6,12,8,0,0,118,0,701,0,0,283,95,60,157,0,0
male,0,0,0,80,0,0,105,0,570,0,0,625,0,0,60,0,0
female,20,0,23,30,0,0,7,0,490,0,0,120,0,0,145,0,605
male,0,0,0,180,0,0,0,0,720,0,0,480,0,0,60,0,0
male,0,0,2,140,0,0,0,0,605,0,0,553,0,0,20,0,0
female,0,0,0,30,0,0,120,0,480,0,0,225,0,0,30,0,555
female,0,0,0,120,0,0,90,0,835,0,235,150,0,0,10,0,0
male,0,0,45,25,0,0,0,0,770,0,0,95,0,0,20,0,485
male,0,0,0,90,0,0,0,0,522,0,60,250,0,0,144,0,374
male,0,0,0,30,0,0,90,0,570,0,0,390,0,0,165,0,195
female,0,405,0,115,0,0,30,0,570,0,0,115,60,0,85,0,0
female,0,0,150,0,0,0,65,0,350,0,0,267,0,0,183,0,240
female,345,0,90,75,0,0,110,0,443,0,0,300,0,0,26,0,0
female,349,0,56,148,0,0,160,0,540,0,20,80,0,0,87,0,0
male,0,0,0,40,0,0,270,0,510,0,0,120,0,0,65,0,330
male,0,0,0,65,0,0,180,0,360,0,0,120,0,0,55,0,660
male,60,0,60,120,0,0,390,0,570,0,0,0,0,0,60,0,180
male,0,0,10,70,0,0,5,0,510,0,0,270,0,0,95,0,480
male,120,0,15,40,0,0,15,0,700,0,0,380,0,0,70,100,0
male,0,0,0,20,0,0,480,0,420,0,0,520,0,0,0,0,0
female,0,0,60,110,0,0,65,0,785,0,0,284,0,0,136,0,0
male,0,0,30,40,0,0,165,0,825,0,0,360,0,0,20,0,0
male,0,0,0,75,0,0,25,0,510,0,0,110,180,0,45,0,480
male,0,0,120,75,0,0,95,0,376,0,0,0,0,0,595,0,179
female,190,0,4,100,0,0,100,0,646,0,60,90,0,0,250,0,0
female,0,225,115,75,0,0,120,0,665,0,0,160,30,0,50,0,0
female,0,0,0,40,0,0,35,0,460,0,0,235,150,0,30,0,490
female,0,0,0,45,0,0,10,0,520,0,0,385,0,0,25,0,420
female,70,0,25,240,0,95,300,0,460,0,0,155,0,0,85,0,0
female,0,20,0,110,0,0,70,0,600,0,75,365,120,0,25,55,0
female,0,0,125,45,0,0,20,0,600,75,0,535,0,0,40,0,0
male,45,0,0,146,0,0,120,0,627,5,140,205,0,0,132,10,0
female,380,0,0,130,0,0,105,0,565,0,0,80,25,0,155,0,0
female,0,0,40,125,0,0,346,0,370,0,0,445,0,100,14,0,0
female,0,0,0,35,0,0,16,0,440,0,0,949,0,0,0,0,0
female,0,0,0,50,0,0,80,0,660,0,0,500,0,150,0,0,0
female,121,0,33,39,0,0,75,0,616,5,0,60,0,0,61,0,430
female,0,0,0,30,0,0,57,0,463,0,0,360,0,0,30,0,500
male,0,5,8,190,0,0,80,0,528,0,0,469,0,30,130,0,0
male,0,0,0,45,0,0,0,0,480,0,0,90,0,0,0,0,825
female,65,90,10,0,0,0,75,0,600,0,0,395,0,0,205,0,0
female,50,0,5,15,0,0,10,0,540,0,0,650,0,0,115,0,0
female,0,0,30,30,0,0,0,0,280,0,0,355,0,0,145,0,600
male,0,0,90,30,0,0,90,15,450,0,0,390,120,0,75,0,180
male,119,0,0,120,0,0,0,0,570,0,0,0,0,0,4,0,627
female,70,0,0,45,0,0,129,0,571,0,20,0,60,15,47,0,483
female,0,0,0,25,0,0,105,0,485,0,205,447,0,30,88,55,0
male,0,0,0,90,0,0,180,0,590,0,0,0,0,0,60,0,520
female,0,0,0,210,0,0,165,0,665,0,0,200,0,0,20,180,0
female,0,0,105,90,387,0,7,0,610,0,114,40,0,10,75,0,0
female,0,0,50,175,0,0,100,0,570,0,0,310,0,0,215,0,0
male,245,15,0,130,0,0,375,0,475,0,0,25,30,0,40,60,0
male,377,0,0,15,0,0,150,0,333,0,0,186,120,0,259,0,0
female,0,0,0,25,0,0,218,0,480,0,0,132,0,0,20,0,565
female,0,220,0,30,0,0,15,0,720,150,0,130,0,15,160,0,0
male,0,0,0,30,0,0,0,0,720,0,0,690,0,0,0,0,0
male,0,0,180,100,0,0,215,0,660,0,0,120,0,0,165,0,0
male,0,0,30,60,0,0,360,0,400,0,0,550,0,0,40,0,0
female,263,0,60,125,0,0,202,0,570,0,0,120,0,0,100,0,0
male,0,0,0,75,0,0,350,0,610,0,0,405,0,0,0,0,0
female,45,0,0,102,0,0,305,0,393,0,0,52,0,0,18,0,525
female,0,5,40,70,0,0,108,0,675,0,0,232,240,0,70,0,0
female,0,0,120,60,0,0,450,0,585,0,0,195,0,0,30,0,0
male,0,0,0,95,0,0,95,0,520,0,0,224,0,0,0,0,506
male,0,45,0,45,0,0,200,0,630,0,0,389,90,0,41,0,0
female,0,0,0,30,0,0,180,0,660,0,0,570,0,0,0,0,0
female,15,0,15,15,0,0,1,0,730,5,0,626,0,0,33,0,0
female,0,0,0,132,393,0,0,0,630,0,0,135,0,0,150,0,0
male,0,0,15,10,0,0,210,0,360,0,0,165,0,0,105,0,575
male,0,0,4,15,0,0,41,0,682,0,0,518,0,60,90,0,0
female,30,0,0,15,20,0,0,0,500,0,0,175,125,0,75,0,500
male,0,0,0,600,0,0,300,0,540,0,0,0,0,0,0,0,0
male,5,0,0,18,0,0,60,0,605,0,0,210,0,0,50,0,492
female,0,0,0,15,0,0,0,0,480,0,705,220,0,0,20,0,0
female,0,0,5,30,0,0,190,0,580,0,0,480,0,0,155,0,0
female,0,0,0,165,0,0,210,0,760,0,0,180,0,30,50,0,0
female,0,0,0,10,0,0,255,0,870,0,0,305,0,0,0,0,0
male,0,0,0,30,0,0,50,0,576,0,0,165,90,0,88,0,441
female,0,0,30,273,85,0,90,0,615,90,0,120,0,0,137,0,0
male,0,0,120,20,0,0,45,0,530,0,0,351,265,0,109,0,0
male,200,0,0,90,0,0,15,0,340,0,0,465,0,0,125,60,145
male,0,0,0,40,0,0,60,0,610,0,0,180,0,0,75,0,475
female,0,0,0,30,0,0,145,0,585,0,230,255,0,0,75,120,0
male,0,10,0,35,0,0,0,0,470,0,0,735,0,0,190,0,0
male,105,0,0,30,0,0,100,0,490,0,0,40,0,0,130,0,545
female,0,0,15,100,0,0,180,0,715,60,0,295,0,0,75,0,0
female,7,0,10,191,0,0,3,0,601,0,0,327,60,30,211,0,0
female,0,0,0,90,0,0,20,0,760,0,0,505,0,0,65,0,0
male,0,0,3,50,0,0,346,0,585,0,0,426,0,0,30,0,0
female,0,0,0,20,0,0,75,0,525,0,0,210,0,0,35,0,515
female,205,71,5,105,0,0,0,0,645,120,0,251,0,0,38,0,0
male,0,0,0,150,0,0,3,0,615,0,0,482,0,0,20,170,0
male,0,0,5,15,0,0,0,0,660,0,0,548,0,0,62,0,150
male,0,0,10,60,0,0,0,0,590,0,0,605,0,0,40,0,120
female,0,0,0,80,0,0,0,0,485,0,0,110,0,0,20,0,745
female,0,2,0,15,60,0,5,0,285,0,0,248,0,0,4,0,821
female,0,0,0,90,0,0,465,0,570,0,30,285,0,0,0,0,0
female,0,0,0,70,0,0,190,0,560,0,0,90,0,90,110,65,0
female,0,30,0,60,0,0,120,0,480,0,0,240,0,0,330,0,180
male,0,0,25,80,0,0,90,0,505,0,0,0,120,0,55,0,565
male,0,0,0,30,0,0,0,0,1080,0,0,330,0,0,0,0,0
male,0,0,25,120,0,0,30,0,570,0,0,270,0,0,125,0,300
female,175,0,5,60,0,0,95,0,530,0,0,155,0,40,380,0,0
female,425,0,15,10,0,0,383,0,445,0,0,95,0,0,67,0,0
male,0,0,0,60,0,0,290,0,490,0,0,0,0,0,240,0,270
male,0,90,0,180,0,0,90,0,360,0,0,60,0,0,540,0,0
male,0,0,45,50,0,0,475,0,504,0,0,120,30,10,86,60,0
female,0,0,15,120,0,0,5,25,425,0,0,400,0,0,280,0,170
male,0,0,160,0,0,0,230,0,530,0,0,450,0,15,55,0,0
female,90,0,0,30,0,0,60,0,530,0,0,660,0,70,0,0,0
female,117,0,45,30,0,0,70,0,698,0,0,420,0,0,60,0,0
female,0,0,0,50,0,0,65,0,525,0,0,195,0,0,50,0,555
female,0,7,0,45,0,0,0,0,570,0,0,70,0,0,140,0,608
male,0,0,0,95,0,0,115,0,360,0,0,225,0,0,0,0,645
female,0,0,0,90,0,0,0,0,540,0,0,0,0,45,0,0,0
female,77,5,75,60,0,0,90,0,660,0,140,123,0,0,90,120,0
male,2,0,45,65,0,0,90,0,260,0,0,658,0,0,110,0,210
female,0,0,110,120,0,0,30,0,793,205,0,0,0,0,182,0,0
male,0,210,0,135,0,0,180,0,590,0,0,225,0,0,100,0,0
female,210,0,80,35,0,0,241,0,459,45,0,105,75,0,190,0,0
female,0,0,30,45,620,0,66,0,510,0,0,150,0,0,4,0,15
female,0,0,10,30,0,0,22,0,635,0,60,633,0,0,50,0,0
female,5,1,10,76,0,0,140,0,459,0,0,155,0,0,85,0,509
female,0,0,0,10,165,0,50,0,530,0,0,0,120,15,85,0,465
female,2,2,25,30,0,0,45,0,601,0,0,254,0,0,64,417,0
female,0,0,0,150,0,0,180,0,555,0,0,305,0,10,0,240,0
male,0,0,0,60,0,0,60,0,480,45,0,60,105,0,85,0,440
male,0,10,0,60,0,0,210,0,560,0,0,90,0,0,35,0,475
male,0,0,0,240,0,0,4,0,656,0,0,150,0,0,70,0,320
female,60,0,0,90,0,0,345,0,595,0,0,180,30,0,20,0,120
male,0,0,0,60,0,0,390,0,180,0,0,810,0,0,0,0,0
male,0,0,0,150,0,0,165,0,570,0,0,510,0,0,0,15,30
female,0,0,60,60,0,0,40,0,600,0,0,660,0,0,20,0,0
female,0,0,10,100,0,0,0,0,690,0,0,205,0,0,45,0,390
female,0,35,137,25,0,0,245,0,655,0,0,176,0,0,77,60,0
male,0,0,0,5,0,0,225,0,510,0,0,680,0,0,20,0,0
female,0,0,0,15,0,0,55,0,550,30,50,75,30,10,85,0,540
male,60,0,0,60,0,0,60,0,540,0,0,645,0,0,0,0,60
female,0,0,5,23,0,0,0,0,1132,0,0,60,176,0,44,0,0
male,0,0,45,75,0,0,75,0,450,0,0,185,0,0,70,0,540
female,0,0,0,30,0,0,0,0,605,0,0,310,0,0,30,0,465
female,0,13,60,130,0,0,65,0,630,0,0,275,120,75,72,0,0
male,75,0,0,182,0,0,240,0,660,0,63,120,0,0,40,60,0
female,65,0,0,45,0,0,5,0,450,0,0,55,0,0,37,0,783
female,30,46,2,40,0,0,421,0,665,0,0,202,0,5,19,0,10
female,0,1,75,270,0,0,35,0,645,0,30,237,0,0,117,0,0
male,0,0,0,0,0,0,60,0,480,0,0,820,0,0,50,30,0
male,0,0,0,220,0,0,0,0,525,0,0,75,0,0,105,0,515
female,0,0,0,110,0,0,15,0,495,0,175,625,0,0,20,0,0
female,0,40,0,130,0,0,185,0,390,0,30,40,0,0,75,0,550
male,0,60,25,75,0,0,206,60,469,13,0,355,0,0,147,30,0
male,0,0,0,15,0,0,120,0,780,0,0,525,0,0,0,0,0
female,0,0,0,30,0,0,0,0,450,5,0,365,0,0,120,0,470
female,0,0,60,30,0,0,205,0,855,0,0,270,0,0,20,0,0
male,0,0,0,30,0,0,195,0,555,0,0,225,0,0,0,435,0
female,0,2,0,20,0,0,80,0,566,0,0,380,0,0,92,0,300
male,207,30,30,63,0,0,60,0,480,0,0,244,0,0,44,0,282
female,0,4,0,85,0,0,200,0,425,0,0,215,0,0,84,160,0
female,0,0,0,20,0,0,305,0,680,0,0,405,0,30,0,0,0
female,0,0,0,0,0,0,0,0,965,0,190,0,0,0,150,135,0
female,0,0,1,30,0,0,310,0,440,0,0,591,0,60,8,0,0
male,0,0,0,90,0,0,0,0,700,0,30,200,0,0,60,0,360
male,0,75,0,297,0,0,363,0,627,2,0,55,0,0,21,0,0
female,189,0,0,0,0,0,70,0,678,0,0,88,90,0,75,0,10
male,0,0,30,30,0,0,10,0,660,0,0,700,0,0,10,0,0
male,0,0,0,60,0,0,480,0,660,0,0,240,0,0,0,0,0
female,47,0,0,70,0,0,99,0,465,0,0,210,0,10,75,0,464
male,0,0,0,120,0,0,60,0,845,0,0,415,0,0,0,0,0
male,60,0,0,25,0,0,210,0,660,0,0,485,0,0,0,0,0
female,0,0,120,30,0,0,120,0,770,10,185,130,0,0,75,0,0
male,0,0,0,60,0,0,240,0,420,0,0,75,0,0,135,0,510
female,1,0,10,254,0,0,180,0,600,0,0,90,0,30,155,0,0
female,0,0,0,90,0,0,60,0,720,0,0,570,0,0,0,0,0
female,0,0,0,20,0,0,225,0,670,0,0,525,0,0,0,0,0
male,240,0,60,90,0,0,0,0,630,0,0,385,0,0,35,0,0
female,0,0,0,65,0,0,490,0,500,0,0,355,0,30,0,0,0
female,135,0,15,75,0,0,135,0,485,0,0,20,0,0,50,0,525
male,0,0,45,35,0,0,230,0,470,0,105,360,0,120,30,0,45
female,27,0,10,10,0,0,248,0,775,0,0,320,0,0,50,0,0
female,90,0,0,35,150,0,270,0,745,0,0,150,0,0,0,0,0
female,0,0,0,10,0,0,164,0,90,0,0,934,0,82,0,0,0
male,0,0,95,55,0,0,65,0,445,0,0,220,30,0,20,0,510
female,0,0,0,300,0,0,30,0,705,0,190,120,0,0,95,0,0
male,0,0,0,95,430,0,70,0,510,0,0,255,0,0,80,0,0
male,10,0,0,110,375,0,207,0,460,0,0,183,20,0,75,0,0
female,0,0,0,20,0,0,10,0,555,0,95,320,0,0,140,0,300
female,0,0,120,10,0,0,60,0,660,0,0,480,0,0,30,0,0
female,0,81,0,10,0,0,130,0,540,0,0,265,0,0,100,0,194
female,0,0,120,90,0,0,60,0,840,0,0,285,0,0,45,0,0
female,0,0,0,20,0,0,0,0,520,0,0,275,0,0,80,0,545
female,0,0,0,195,0,0,60,0,710,0,0,180,0,0,175,0,0
male,0,0,0,30,0,0,150,0,570,0,0,135,0,0,10,0,490
male,40,0,235,150,0,0,2,0,515,2,0,299,0,0,197,0,0
female,0,75,0,80,0,0,194,0,461,0,0,585,0,0,35,0,0
female,0,20,0,65,0,0,460,0,535,0,0,345,0,15,0,0,0
female,0,0,0,350,0,0,10,0,375,0,0,435,0,0,270,0,0
female,0,10,0,70,0,0,45,100,520,0,0,115,0,0,115,0,465
male,0,0,0,95,0,0,45,0,620,0,0,390,40,0,140,0,110
female,255,0,0,60,0,0,285,0,630,0,0,210,0,0,0,0,0
female,10,0,270,60,0,0,90,0,495,0,0,260,0,15,240,0,0
female,0,0,50,30,0,0,65,0,525,0,0,719,0,0,51,0,0
female,0,0,0,10,0,0,56,0,515,0,0,149,0,0,90,0,620
female,0,0,0,0,0,0,47,0,575,0,0,165,0,0,20,0,633
female,0,0,230,30,0,0,175,0,745,0,0,120,0,0,140,0,0
male,0,0,0,70,422,0,15,0,525,0,0,336,60,0,12,0,0
male,0,145,5,40,0,0,145,0,630,0,0,285,0,0,145,0,0
female,0,0,0,115,0,0,195,0,356,0,0,588,0,184,2,0,0
